City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,porbandar,21.6422,69.6093,83.88,81,33,15.97,IN,1717886222
148,ushuaia,-54.8,-68.3,33.46,75,0,11.5,AR,1717886178
149,ajdabiya,30.7554,20.2263,73.2,67,0,8.77,LY,1717886224
150,nar'yan-mar,67.6713,53.087,35.11,86,77,5.99,RU,1717885988
151,robore,-18.3333,-59.75,76.66,39,22,4.63,BO,1717886227
152,tateyama,34.9833,139.8667,72.1,71,63,6.78,JP,1717886228
153,bereznik,62.8551,42.7072,49.39,93,59,5.14,RU,1717886229
154,lospalos,-8.5186,127.0025,70.05,85,71,6.78,TL,1717886231
155,yelizovo,53.1873,158.3805,55.54,54,75,8.95,RU,1717886233
156,vadso,70.0744,29.7487,38.28,93,100,12.66,NO,1717886234
157,ngama,11.7833,17.1667,91.44,34,95,5.53,TD,1717886235
158,anadyr,64.75,177.4833,36.1,100,75,11.18,RU,1717886237
159,acapulco de juarez,16.8634,-99.8901,85.82,70,100,5.75,MX,1717886238
